reg.gid	tgt.gid
Zm00001d037317	Zm00001d032081
Zm00001d037317	Zm00001d004709
Zm00001d037317	Zm00001d009409
Zm00001d037317	Zm00001d048362
Zm00001d037317	Zm00001d001978
Zm00001d037317	Zm00001d019641
Zm00001d037317	Zm00001d016890
Zm00001d037317	Zm00001d031938
Zm00001d037317	Zm00001d015929
Zm00001d037317	Zm00001d001839
Zm00001d037317	Zm00001d003287
Zm00001d037317	Zm00001d050748
Zm00001d037317	Zm00001d009668
Zm00001d037317	Zm00001d049643
Zm00001d037317	Zm00001d010463
Zm00001d037317	Zm00001d039634
Zm00001d037317	Zm00001d047806
Zm00001d037317	Zm00001d023446
Zm00001d037317	Zm00001d052152
Zm00001d037317	Zm00001d017780
Zm00001d037317	Zm00001d011902
Zm00001d037317	Zm00001d029667
Zm00001d037317	Zm00001d040149
Zm00001d037317	Zm00001d034865
Zm00001d037317	Zm00001d022059
Zm00001d037317	Zm00001d033316
Zm00001d037317	Zm00001d022126
Zm00001d037317	Zm00001d031992
Zm00001d037317	Zm00001d022127
Zm00001d037317	Zm00001d020418
Zm00001d037317	Zm00001d039467
Zm00001d037317	Zm00001d022518
Zm00001d037317	Zm00001d018393
Zm00001d037317	Zm00001d016845
Zm00001d037317	Zm00001d014563
Zm00001d037317	Zm00001d023478
Zm00001d037317	Zm00001d018802
Zm00001d037317	Zm00001d048008
Zm00001d037317	Zm00001d032973
Zm00001d037317	Zm00001d043406
Zm00001d037317	Zm00001d029768
Zm00001d037317	Zm00001d023456
Zm00001d037317	Zm00001d035598
Zm00001d037317	Zm00001d023565
Zm00001d037317	Zm00001d034818
Zm00001d037317	Zm00001d038695
Zm00001d037317	Zm00001d008843
Zm00001d037317	Zm00001d035501
Zm00001d037317	Zm00001d031079
Zm00001d037317	Zm00001d031168
Zm00001d037317	Zm00001d052162
Zm00001d037317	Zm00001d036536
Zm00001d037317	Zm00001d030834
Zm00001d037317	Zm00001d015153
Zm00001d037317	Zm00001d022531
Zm00001d037317	Zm00001d012302
Zm00001d037317	Zm00001d043399
Zm00001d037317	Zm00001d008939
Zm00001d037317	Zm00001d042619
Zm00001d037317	Zm00001d013553
Zm00001d037317	Zm00001d049364
Zm00001d037317	Zm00001d031053
Zm00001d037317	Zm00001d011076
Zm00001d037317	Zm00001d027988
Zm00001d037317	Zm00001d011928
Zm00001d037317	Zm00001d013532
Zm00001d037317	Zm00001d005039
Zm00001d037317	Zm00001d010308
Zm00001d037317	Zm00001d008573
Zm00001d037317	Zm00001d048795
Zm00001d037317	Zm00001d049365
Zm00001d037317	Zm00001d017908
Zm00001d037317	Zm00001d000310
Zm00001d037317	Zm00001d002405
Zm00001d037317	Zm00001d011751
Zm00001d037317	Zm00001d022151
Zm00001d037317	Zm00001d015477
Zm00001d037317	Zm00001d048053
Zm00001d037317	Zm00001d033623
Zm00001d037317	Zm00001d047087
Zm00001d037317	Zm00001d049510
Zm00001d037317	Zm00001d002064
Zm00001d037317	Zm00001d011938
Zm00001d037317	Zm00001d028806
Zm00001d037317	Zm00001d036535
Zm00001d037317	Zm00001d023314
Zm00001d037317	Zm00001d021836
Zm00001d037317	Zm00001d011929
Zm00001d037317	Zm00001d023507
Zm00001d037317	Zm00001d027899
Zm00001d037317	Zm00001d046460
Zm00001d037317	Zm00001d039007
Zm00001d037317	Zm00001d042874
Zm00001d037317	Zm00001d038374
Zm00001d037317	Zm00001d034143
Zm00001d037317	Zm00001d028130
Zm00001d037317	Zm00001d026475
Zm00001d037317	Zm00001d033857
Zm00001d037317	Zm00001d039426
Zm00001d037317	Zm00001d034558
Zm00001d037317	Zm00001d023372
Zm00001d037317	Zm00001d038056
Zm00001d037317	Zm00001d008976
Zm00001d037317	Zm00001d002843
Zm00001d037317	Zm00001d011930
Zm00001d037317	Zm00001d031638
Zm00001d037317	Zm00001d041990
Zm00001d037317	Zm00001d022530
Zm00001d037317	Zm00001d002278
Zm00001d037317	Zm00001d008251
Zm00001d037317	Zm00001d002005
Zm00001d037317	Zm00001d001849
Zm00001d037317	Zm00001d016891
Zm00001d037317	Zm00001d022306
Zm00001d037317	Zm00001d021553
Zm00001d037317	Zm00001d018392
Zm00001d037317	Zm00001d034726
Zm00001d037317	Zm00001d012238
Zm00001d037317	Zm00001d013542
Zm00001d037317	Zm00001d027354
Zm00001d037317	Zm00001d040312
Zm00001d037317	Zm00001d014867
Zm00001d037317	Zm00001d013540
Zm00001d037317	Zm00001d047536
Zm00001d037317	Zm00001d049351
Zm00001d037317	Zm00001d043301
Zm00001d037317	Zm00001d029095
Zm00001d037317	Zm00001d023792
Zm00001d037317	Zm00001d034492
Zm00001d037317	Zm00001d042706
Zm00001d037317	Zm00001d041889
Zm00001d037317	Zm00001d042708
Zm00001d037317	Zm00001d029869
Zm00001d037317	Zm00001d007045
Zm00001d037317	Zm00001d016271
Zm00001d037317	Zm00001d013178
Zm00001d037317	Zm00001d023313
Zm00001d037317	Zm00001d031441
Zm00001d037317	Zm00001d042388
Zm00001d037317	Zm00001d029899
Zm00001d037317	Zm00001d006016
Zm00001d037317	Zm00001d010751
Zm00001d037317	Zm00001d044534
Zm00001d037317	Zm00001d021778
Zm00001d037317	Zm00001d047976
Zm00001d037317	Zm00001d040148
Zm00001d037317	Zm00001d032688
Zm00001d037317	Zm00001d021777
Zm00001d037317	Zm00001d006749
Zm00001d037317	Zm00001d049684
Zm00001d037317	Zm00001d034588
Zm00001d037317	Zm00001d021971
Zm00001d037317	Zm00001d029680
Zm00001d037317	Zm00001d008495
Zm00001d037317	Zm00001d025218
Zm00001d037317	Zm00001d006509
Zm00001d037317	Zm00001d038146
Zm00001d037317	Zm00001d038250
Zm00001d037317	Zm00001d027886
Zm00001d037317	Zm00001d034817
Zm00001d037317	Zm00001d017907
Zm00001d037317	Zm00001d017699
Zm00001d037317	Zm00001d023455
Zm00001d037317	Zm00001d049551
Zm00001d037317	Zm00001d027505
Zm00001d037317	Zm00001d044434
Zm00001d037317	Zm00001d006510
Zm00001d037317	Zm00001d052993
Zm00001d037317	Zm00001d033317
Zm00001d037317	Zm00001d038002
Zm00001d037317	Zm00001d020180
Zm00001d037317	Zm00001d022295
Zm00001d037317	Zm00001d026668
Zm00001d037317	Zm00001d049768
Zm00001d037317	Zm00001d035506
Zm00001d037317	Zm00001d031184
Zm00001d037317	Zm00001d031840
Zm00001d037317	Zm00001d024661
Zm00001d037317	Zm00001d018555
Zm00001d037317	Zm00001d011941
Zm00001d037317	Zm00001d048051
Zm00001d037317	Zm00001d009014
Zm00001d037317	Zm00001d028139
Zm00001d037317	Zm00001d038879
Zm00001d037317	Zm00001d018056
Zm00001d037317	Zm00001d047946
Zm00001d037317	Zm00001d024602
Zm00001d037317	Zm00001d029429
Zm00001d037317	Zm00001d035747
Zm00001d037317	Zm00001d028866
Zm00001d037317	Zm00001d003400
Zm00001d037317	Zm00001d024672
Zm00001d037317	Zm00001d029868
Zm00001d037317	Zm00001d034727
Zm00001d037317	Zm00001d009315
Zm00001d037317	Zm00001d022474
Zm00001d037317	Zm00001d000311
Zm00001d037317	Zm00001d021584
Zm00001d037317	Zm00001d021072
Zm00001d037317	Zm00001d010066
Zm00001d037317	Zm00001d042288
Zm00001d037317	Zm00001d018479
Zm00001d037317	Zm00001d043352
Zm00001d037317	Zm00001d045064
Zm00001d037317	Zm00001d042328
Zm00001d037317	Zm00001d051552
