Zm00001d021191	GRMZM2G438538
	GRMZM2G138727
	GRMZM2G080603
	GRMZM5G836166
	GRMZM2G013801
	GRMZM2G360097
	GRMZM2G147459
	GRMZM2G001645
	GRMZM2G089631
	GRMZM2G137352
	GRMZM2G154156
	GRMZM2G005939
	GRMZM2G432796
	GRMZM2G585923
	GRMZM2G153292
	GRMZM2G116292
	GRMZM2G109252
	GRMZM2G180044
	GRMZM2G075828
	GRMZM2G127232
	GRMZM2G439784
	GRMZM2G143210
	GRMZM2G144645
	GRMZM2G099317
	GRMZM2G417455
	GRMZM2G137174
	GRMZM2G305685
	GRMZM5G811373
	GRMZM2G080176
	GRMZM2G179090
	GRMZM2G167591
	GRMZM2G094497
	GRMZM2G141386