TF(v3)	TF (v4)	Target (v3)	Target (v4)
GRMZM2G524937	Zm00001d015127	GRMZM2G058675	Zm00001d045706
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G152801	Zm00001d018184
		GRMZM2G081582	Zm00001d051163
GRMZM2G368898	Zm00001d026518	GRMZM2G147245	Zm00001d037849
		GRMZM5G844562	Zm00001d015618
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G152801	Zm00001d018184
GRMZM2G020799	Zm00001d017911	GRMZM2G026930	Zm00001d044122
		GRMZM2G097706	Zm00001d044340
		GRMZM2G074604	Zm00001d017274
		GRMZM2G063917	Zm00001d051166
GRMZM2G011119	none	GRMZM2G058675	Zm00001d045706
		GRMZM2G422750	Zm00001d052673
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G152801	Zm00001d018184
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G074604	Zm00001d017274
		GRMZM2G441347	Zm00001d003016
		GRMZM2G029048	Zm00001d017275
		GRMZM2G063917	Zm00001d051166
		GRMZM2G170692	Zm00001d017279
		GRMZM2G072911	Zm00001d017601
GRMZM2G134863	Zm00001d036736	GRMZM2G174574	Zm00001d033055
		GRMZM2G422750	Zm00001d052673
		GRMZM2G046070	Zm00001d002346
		AC210173.4_FG005	Zm00001d032468
GRMZM2G024655	Zm00001d008356	GRMZM2G096020	Zm00001d027519
		GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		AC196475.3_FG004	Zm00001d049541
		AC210173.4_FG005	Zm00001d032468
		GRMZM2G152801	Zm00001d018184
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G029048	Zm00001d017275
GRMZM5G830949	Zm00001d011470	GRMZM2G099363	Zm00001d045206
		GRMZM2G131205	Zm00001d032152
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G074604	Zm00001d017274
		GRMZM2G029048	Zm00001d017275
		GRMZM2G081582	Zm00001d051163
GRMZM2G091433	Zm00001d052621	GRMZM5G844562	Zm00001d015618
		GRMZM2G099363	Zm00001d045206
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G034360	Zm00001d012274
GRMZM2G167576	Zm00001d045772	GRMZM2G422750	Zm00001d052673
		GRMZM2G034360	Zm00001d012274
		GRMZM2G158083	Zm00001d003129
		GRMZM2G081582	Zm00001d051163
GRMZM2G096600	Zm00001d010713	GRMZM2G096020	Zm00001d027519
		GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G165390	Zm00001d045055
		GRMZM2G422750	Zm00001d052673
		GRMZM2G139874	Zm00001d009858
		GRMZM2G131836	Zm00001d019669
		GRMZM2G025832	Zm00001d017077
		GRMZM2G152801	Zm00001d018184
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G029048	Zm00001d017275
		GRMZM2G072911	Zm00001d017601
GRMZM2G010290	Zm00001d026096	GRMZM2G156296	Zm00001d020530
		GRMZM2G074604	Zm00001d017274
		GRMZM2G334660	Zm00001d017276
		GRMZM2G031311	Zm00001d037784
GRMZM2G093725	Zm00001d034653	GRMZM2G013726	Zm00001d011438
		GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		GRMZM2G131205	Zm00001d032152
		GRMZM2G131836	Zm00001d019669
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G313750	Zm00001d050955
		GRMZM2G152801	Zm00001d018184
		GRMZM2G069298	Zm00001d018181
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G029048	Zm00001d017275
		GRMZM2G170692	Zm00001d017279
		GRMZM2G072911	Zm00001d017601
GRMZM2G146283	Zm00001d005100	GRMZM2G165390	Zm00001d045055
		GRMZM2G025832	Zm00001d017077
		GRMZM2G146234	Zm00001d051896
		GRMZM2G074604	Zm00001d017274
		GRMZM2G081582	Zm00001d051163
GRMZM2G086072	Zm00001d027709	GRMZM2G165390	Zm00001d045055
		GRMZM2G131205	Zm00001d032152
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G156296	Zm00001d020530
GRMZM2G100982	Zm00001d009622	GRMZM2G131205	Zm00001d032152
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G034360	Zm00001d012274
		GRMZM2G158083	Zm00001d003129
GRMZM2G301860	Zm00001d045204	GRMZM2G026930	Zm00001d044122
		GRMZM2G097706	Zm00001d044340
		GRMZM5G844562	Zm00001d015618
		AC196475.3_FG004	Zm00001d049541
GRMZM2G421033	Zm00001d026447	GRMZM2G096020	Zm00001d027519
		GRMZM2G026930	Zm00001d044122
		GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		GRMZM2G152801	Zm00001d018184
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G072911	Zm00001d017601
GRMZM2G172936	Zm00001d002744	GRMZM2G096020	Zm00001d027519
		GRMZM2G058675	Zm00001d045706
		GRMZM2G165390	Zm00001d045055
		GRMZM2G313750	Zm00001d050955
		GRMZM2G072911	Zm00001d017601
GRMZM2G173771	Zm00001d052167	GRMZM2G165390	Zm00001d045055
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G029048	Zm00001d017275
		GRMZM2G081582	Zm00001d051163
GRMZM2G423292	Zm00001d049991	GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		GRMZM2G099363	Zm00001d045206
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G035584	Zm00001d017186
		GRMZM2G156296	Zm00001d020530
		GRMZM2G029048	Zm00001d017275
GRMZM2G010871	Zm00001d032923	GRMZM2G165390	Zm00001d045055
		GRMZM2G016241	Zm00001d032969
		GRMZM2G025832	Zm00001d017077
		GRMZM2G146234	Zm00001d051896
		GRMZM2G081582	Zm00001d051163
GRMZM2G078198	Zm00001d052933	GRMZM2G096020	Zm00001d027519
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G152801	Zm00001d018184
		GRMZM2G035584	Zm00001d017186
		GRMZM2G029048	Zm00001d017275
AC233943.1_FG002	Zm00001d039694	GRMZM2G026930	Zm00001d044122
		GRMZM2G165390	Zm00001d045055
		GRMZM2G155329	Zm00001d034635
		GRMZM2G063917	Zm00001d051166
GRMZM2G092517	Zm00001d043036	GRMZM2G122787	Zm00001d027711
		GRMZM2G026930	Zm00001d044122
		GRMZM2G013726	Zm00001d011438
		GRMZM2G097841	Zm00001d026370
		GRMZM2G422750	Zm00001d052673
		GRMZM2G131205	Zm00001d032152
		GRMZM2G155329	Zm00001d034635
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G082007	Zm00001d051870
		GRMZM2G160763	Zm00001d010521
		GRMZM2G062396	Zm00001d001960
		GRMZM2G146234	Zm00001d051896
		GRMZM2G069298	Zm00001d018181
		GRMZM2G179703	Zm00001d031893
		GRMZM2G063917	Zm00001d051166
		GRMZM2G072911	Zm00001d017601
		GRMZM2G166767	Zm00001d047796
		GRMZM2G151227	Zm00001d007403
GRMZM2G075499	Zm00001d051891	GRMZM2G026930	Zm00001d044122
		GRMZM2G013726	Zm00001d011438
		GRMZM2G097841	Zm00001d026370
		GRMZM2G422750	Zm00001d052673
		GRMZM2G131205	Zm00001d032152
		GRMZM2G155329	Zm00001d034635
		GRMZM2G160763	Zm00001d010521
		GRMZM2G313750	Zm00001d050955
		GRMZM2G062396	Zm00001d001960
		GRMZM2G146234	Zm00001d051896
		GRMZM2G069298	Zm00001d018181
		GRMZM2G034360	Zm00001d012274
		GRMZM2G129266	Zm00001d032527
		GRMZM2G074604	Zm00001d017274
		GRMZM2G441347	Zm00001d003016
		GRMZM2G029048	Zm00001d017275
		GRMZM2G063917	Zm00001d051166
		GRMZM2G081582	Zm00001d051163
		GRMZM2G118345	Zm00001d003015
		GRMZM2G170692	Zm00001d017279
		GRMZM2G334660	Zm00001d017276
		GRMZM2G072911	Zm00001d017601
		GRMZM2G166767	Zm00001d047796
GRMZM5G868471	Zm00001d009823	GRMZM2G055320	Zm00001d046915
		GRMZM2G026930	Zm00001d044122
		GRMZM2G013726	Zm00001d011438
		GRMZM2G097706	Zm00001d044340
		GRMZM2G165390	Zm00001d045055
		GRMZM2G046070	Zm00001d002346
		GRMZM2G131205	Zm00001d032152
		GRMZM2G155329	Zm00001d034635
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G082007	Zm00001d051870
		GRMZM2G025832	Zm00001d017077
		GRMZM2G146234	Zm00001d051896
		GRMZM2G069298	Zm00001d018181
		GRMZM2G158083	Zm00001d003129
		GRMZM2G129266	Zm00001d032527
		GRMZM2G074604	Zm00001d017274
		GRMZM2G441347	Zm00001d003016
		GRMZM2G063917	Zm00001d051166
		GRMZM2G118345	Zm00001d003015
		GRMZM2G170692	Zm00001d017279
		GRMZM2G334660	Zm00001d017276
		GRMZM2G160541	Zm00001d051161
		GRMZM2G072911	Zm00001d017601
		GRMZM2G166767	Zm00001d047796
GRMZM2G076327	Zm00001d030364	GRMZM2G026930	Zm00001d044122
		GRMZM2G097706	Zm00001d044340
		GRMZM2G155329	Zm00001d034635
		GRMZM2G129266	Zm00001d032527
		GRMZM2G063917	Zm00001d051166
GRMZM5G800112	Zm00001d032359	GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G016241	Zm00001d032969
		GRMZM2G422750	Zm00001d052673
		GRMZM2G152801	Zm00001d018184
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G074604	Zm00001d017274
		GRMZM2G029048	Zm00001d017275
		GRMZM2G081582	Zm00001d051163
GRMZM2G143046	Zm00001d030644	GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		GRMZM2G131205	Zm00001d032152
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G029048	Zm00001d017275
		GRMZM2G072911	Zm00001d017601
GRMZM2G052606	Zm00001d023931	GRMZM2G026930	Zm00001d044122
		GRMZM2G165390	Zm00001d045055
		GRMZM2G131205	Zm00001d032152
		GRMZM2G074604	Zm00001d017274
		GRMZM2G029048	Zm00001d017275
		GRMZM2G063917	Zm00001d051166
		GRMZM2G081582	Zm00001d051163
		GRMZM2G118345	Zm00001d003015
GRMZM5G833253	Zm00001d051520	GRMZM2G013726	Zm00001d011438
		GRMZM2G165390	Zm00001d045055
		GRMZM2G131205	Zm00001d032152
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G034360	Zm00001d012274
		GRMZM2G074604	Zm00001d017274
		GRMZM2G029048	Zm00001d017275
		GRMZM2G063917	Zm00001d051166
		GRMZM2G081582	Zm00001d051163
		GRMZM2G118345	Zm00001d003015
		GRMZM2G151227	Zm00001d007403
GRMZM2G084799	Zm00001d028854	GRMZM2G096020	Zm00001d027519
		GRMZM2G026930	Zm00001d044122
		GRMZM2G160763	Zm00001d010521
		GRMZM2G099467	Zm00001d029744
		GRMZM2G034360	Zm00001d012274
		GRMZM2G129266	Zm00001d032527
		GRMZM2G074604	Zm00001d017274
		GRMZM2G081582	Zm00001d051163
		GRMZM2G072911	Zm00001d017601
GRMZM2G051256	Zm00001d040621	GRMZM2G096020	Zm00001d027519
		GRMZM2G026930	Zm00001d044122
		GRMZM2G058675	Zm00001d045706
		GRMZM2G165390	Zm00001d045055
		GRMZM2G139874	Zm00001d009858
		GRMZM2G131205	Zm00001d032152
		AC196475.3_FG004	Zm00001d049541
		AC210173.4_FG005	Zm00001d032468
		GRMZM2G035584	Zm00001d017186
GRMZM2G088783	Zm00001d043687	GRMZM2G096020	Zm00001d027519
		GRMZM2G058675	Zm00001d045706
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G034360	Zm00001d012274
		GRMZM2G035584	Zm00001d017186
		GRMZM2G029048	Zm00001d017275
		GRMZM2G072911	Zm00001d017601
GRMZM2G143328	Zm00001d044107	GRMZM2G026930	Zm00001d044122
		GRMZM2G165390	Zm00001d045055
		GRMZM2G131205	Zm00001d032152
		AC196475.3_FG004	Zm00001d049541
GRMZM2G097638	Zm00001d026204	GRMZM2G122787	Zm00001d027711
		GRMZM2G026930	Zm00001d044122
		GRMZM2G131205	Zm00001d032152
		GRMZM2G082007	Zm00001d051870
		GRMZM2G160763	Zm00001d010521
		GRMZM2G035584	Zm00001d017186
		GRMZM2G074604	Zm00001d017274
		GRMZM2G029048	Zm00001d017275
		GRMZM2G063917	Zm00001d051166
		GRMZM2G081582	Zm00001d051163
		GRMZM2G118345	Zm00001d003015
		GRMZM2G334660	Zm00001d017276
		GRMZM2G160541	Zm00001d051161
AC204212.4_FG001	Zm00001d017782	GRMZM2G165390	Zm00001d045055
		GRMZM2G155329	Zm00001d034635
		GRMZM2G035584	Zm00001d017186
		GRMZM2G081582	Zm00001d051163
		GRMZM2G031311	Zm00001d037784
GRMZM5G894234	Zm00001d048059	GRMZM2G055320	Zm00001d046915
		GRMZM2G139874	Zm00001d009858
		GRMZM2G046070	Zm00001d002346
		AC196475.3_FG004	Zm00001d049541
GRMZM2G392306	Zm00001d044825	GRMZM2G165390	Zm00001d045055
		GRMZM2G131205	Zm00001d032152
		GRMZM2G155329	Zm00001d034635
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G082007	Zm00001d051870
		GRMZM2G025832	Zm00001d017077
		GRMZM2G069298	Zm00001d018181
		GRMZM2G158083	Zm00001d003129
		GRMZM2G074604	Zm00001d017274
		GRMZM2G441347	Zm00001d003016
		GRMZM2G063917	Zm00001d051166
		GRMZM2G081582	Zm00001d051163
		GRMZM2G160541	Zm00001d051161
GRMZM2G098442	Zm00001d025957	GRMZM2G013726	Zm00001d011438
		GRMZM2G165390	Zm00001d045055
		GRMZM2G074604	Zm00001d017274
		GRMZM2G081582	Zm00001d051163
GRMZM2G085974	Zm00001d032691	GRMZM2G055320	Zm00001d046915
		GRMZM2G026930	Zm00001d044122
		GRMZM2G165390	Zm00001d045055
		GRMZM2G179703	Zm00001d031893
		GRMZM2G074604	Zm00001d017274
GRMZM2G177386	Zm00001d038846	GRMZM2G026930	Zm00001d044122
		GRMZM2G097706	Zm00001d044340
		GRMZM2G422750	Zm00001d052673
		GRMZM2G046070	Zm00001d002346
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G069298	Zm00001d018181
GRMZM2G034253	Zm00001d013000	GRMZM2G058675	Zm00001d045706
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G029048	Zm00001d017275
		GRMZM2G081582	Zm00001d051163
GRMZM2G301122	Zm00001d023523	GRMZM2G422750	Zm00001d052673
		GRMZM2G025832	Zm00001d017077
		GRMZM2G146234	Zm00001d051896
		GRMZM2G074604	Zm00001d017274
		GRMZM2G029048	Zm00001d017275
		GRMZM2G063917	Zm00001d051166
		GRMZM2G081582	Zm00001d051163
GRMZM2G163418	Zm00001d005622	GRMZM2G174574	Zm00001d033055
		AC196475.3_FG004	Zm00001d049541
		GRMZM2G074604	Zm00001d017274
		GRMZM2G081582	Zm00001d051163